State,shopping centre,url,Coordinate,latitude,longitude
New South Wales,Castle Towers,https://en.wikipedia.org/wiki/Castle_Towers,"33°43′50″S,151°00′22″E",-33.73056,151.00611
New South Wales,Casula Mall,https://en.wikipedia.org/wiki/Casula_Mall,"33°56′53″S,150°53′59″E",-33.94806,150.89972
New South Wales,Chatswood Chase Sydney,https://en.wikipedia.org/wiki/Chatswood_Chase_Sydney,"33°47′39″S,151°11′10″E",-33.79417,151.18611
New South Wales,Chatswood Interchange,https://en.wikipedia.org/wiki/Chatswood_Interchange,"33°47′50″S,151°10′55″E",-33.79722,151.18194
New South Wales,Chatswood Mall,https://en.wikipedia.org/wiki/Chatswood_Mall,"33°47′47″S,151°10′57″E",-33.79639,151.1825
New South Wales,Chullora Marketplace,"https://en.wikipedia.org/wiki/Chullora,_New_South_Wales#Commercial_area","33°53′27″S,151°2′51″E",-33.89083,151.0475
New South Wales,Eastgate Bondi Junction,https://en.wikipedia.org/wiki/Eastgate_Bondi_Junction,"33°53′33″S,151°14′54″E",-33.8925,151.24833
New South Wales,Hurstville Central,https://en.wikipedia.org/wiki/Hurstville_Central,"33°58′02″S,151°06′10″E",-33.96722,151.10278
New South Wales,Lidcombe Shopping Centre,https://en.wikipedia.org/wiki/Lidcombe_Shopping_Centre,"33°50′58″S,151°02′56″E",-33.84944,151.04889
New South Wales,Macquarie Centre,https://en.wikipedia.org/wiki/Macquarie_Centre,"33°46′37″S,151°07′14″E",-33.77694,151.12056
New South Wales,North Rocks Shopping Centre,https://en.wikipedia.org/wiki/North_Rocks_Shopping_Centre,"33°46′34″S,151°1′11″E",-33.77611,151.01972
New South Wales,Rhodes Waterside,https://en.wikipedia.org/wiki/Rhodes_Waterside,"33°50′07″S,151°05′06″E",-33.83528,151.085
New South Wales,Roselands Shopping Centre,https://en.wikipedia.org/wiki/Roselands_Shopping_Centre,"33°56′06″S,151°04′08″E",-33.935,151.06889
New South Wales,Southgate Shopping Centre,"https://en.wikipedia.org/wiki/Southgate,_Sylvania","34°00′45″S,151°06′22″E",-34.0125,151.10611
New South Wales,St Ives Shopping Village,https://en.wikipedia.org/wiki/St_Ives_Shopping_Village,"33°43′47″S,151°09′31″E",-33.72972,151.15861
New South Wales,Strathfield Plaza,https://en.wikipedia.org/wiki/Strathfield_Plaza,"33°52′22″S,151°05′35″E",-33.87278,151.09306
New South Wales,Stockland Balgowlah,"https://en.wikipedia.org/wiki/Balgowlah,_New_South_Wales#Stockland_Balgowlah","33°47′47″S,151°15′31″E",-33.79639,151.25861
New South Wales,Stockland Baulkham Hills,"https://en.wikipedia.org/wiki/Baulkham_Hills,_New_South_Wales#Commercial_area","33°45′34″S,150°59′25″E",-33.75944,150.99028
New South Wales,Stockland Merrylands,"https://en.wikipedia.org/wiki/Merrylands,_New_South_Wales#Commercial_area","33°50′15″S,150°59′30″E",-33.8375,150.99167
New South Wales,Stockland Wetherill Park,https://en.wikipedia.org/wiki/Stockland_Wetherill_Park,"33°51′32″S,150°53′56″E",-33.85889,150.89889
New South Wales,Top Ryde City,https://en.wikipedia.org/wiki/Top_Ryde_City,"33°48′44″S,151°06′22″E",-33.81222,151.10611
New South Wales,Warriewood Square,https://en.wikipedia.org/wiki/Warriewood_Square,"33°41′45″S,151°17′44″E",-33.69583,151.29556
New South Wales,Westfield Bondi Junction,https://en.wikipedia.org/wiki/Westfield_Bondi_Junction,"33°53′31″S,151°15′04″E",-33.89194,151.25111
New South Wales,Westfield Burwood,https://en.wikipedia.org/wiki/Westfield_Burwood,"33°52′29″S,151°06′21″E",-33.87472,151.10583
New South Wales,Westfield Chatswood,https://en.wikipedia.org/wiki/Westfield_Chatswood,"33°47′49″S,151°11′03″E",-33.79694,151.18417
New South Wales,Westfield Eastgardens,https://en.wikipedia.org/wiki/Westfield_Eastgardens,"33°56′41″S,151°13′28″E",-33.94472,151.22444
New South Wales,Westfield Hornsby,https://en.wikipedia.org/wiki/Westfield_Hornsby,"33°42′15″S,151°06′03″E",-33.70417,151.10083
New South Wales,Westfield Hurstville,https://en.wikipedia.org/wiki/Westfield_Hurstville,"33°57′58″S,151°06′18″E",-33.96611,151.105
New South Wales,Westfield Liverpool,https://en.wikipedia.org/wiki/Westfield_Liverpool,"33°55′11″S,150°55′28″E",-33.91972,150.92444
New South Wales,Westfield Miranda,https://en.wikipedia.org/wiki/Westfield_Miranda,"34°02′07″S,151°06′00″E",-34.03528,151.1
New South Wales,Westfield Parramatta,https://en.wikipedia.org/wiki/Westfield_Parramatta,"33°49′04″S,151°00′07″E",-33.81778,151.00194
New South Wales,Westfield Warringah Mall,https://en.wikipedia.org/wiki/Westfield_Warringah_Mall,"33°46′04″S,151°15′58″E",-33.76778,151.26611
New South Wales,Charlestown Square,https://en.wikipedia.org/wiki/Charlestown_Square,"32°57′47″S,151°41′42″E",-32.96306,151.695
New South Wales,Stockland Glendale,https://en.wikipedia.org/wiki/Stockland_Glendale,"32°56′04″S,151°38′33″E",-32.93444,151.6425
New South Wales,Stockland Green Hills,https://en.wikipedia.org/wiki/Stockland_Green_Hills,"32°45′43″S,151°35′37″E",-32.76194,151.59361
New South Wales,Westfield Kotara,https://en.wikipedia.org/wiki/Westfield_Kotara,"32°56′33.6″S,151°42′39.1″E",-32.9425,151.71083
